Date,Time,Carrier,X_Pos,Y_Pos,Data1,Data2,H_Avg,I_Avg,J_L,K_a,L_b,M_L,N_a,O_b
2020-11-20,13:21:37,26,1320,590,6,0,4.9796,0.9478,24.21,1.76,-3.31,98.29,-0.25,0.55
2020-11-20,13:21:46,26,1320,1010,10,0,4.9688,0.9477,24.25,1.69,-2.93,98.28,-0.25,0.51
2020-11-20,13:21:51,26,1320,1205,12,2,4.9928,0.9467,24.22,1.83,-3.44,98.25,-0.26,0.57
2020-11-20,13:22:58,18,1320,165,2,0,4.9725,0.9479,24.2,1.81,-3.66,98.3,-0.26,0.61
2020-11-20,13:23:07,18,1320,590,6,0,4.9895,0.9476,24.22,1.83,-3.5,98.29,-0.26,0.58
2020-11-20,13:23:16,18,1320,1010,10,0,4.9746,0.9476,24.23,1.77,-3.11,98.28,-0.25,0.53
2020-11-20,13:23:21,18,1320,1205,12,2,4.9901,0.9474,24.22,1.86,-3.62,98.28,-0.26,0.6
2020-11-20,13:24:27,7,1320,165,2,0,4.9686,0.948,24.21,1.78,-3.53,98.3,-0.25,0.58
2020-11-20,13:24:37,7,1320,590,6,0,4.9838,0.9478,24.23,1.78,-3.35,98.29,-0.26,0.56
2020-11-20,13:24:45,7,1320,1010,10,0,4.9763,0.9476,24.26,1.72,-2.96,98.28,-0.25,0.5
2020-11-20,13:24:50,7,1320,1205,12,2,4.9787,0.9477,24.2,1.84,-3.5,98.29,-0.26,0.56
2020-11-20,13:25:57,13,1320,165,2,0,4.9783,0.948,24.22,1.83,-3.74,98.3,-0.26,0.6
2020-11-20,13:26:06,13,1320,590,6,0,4.9908,0.9477,24.22,1.87,-3.58,98.29,-0.27,0.59
2020-11-20,13:26:15,13,1320,1010,10,0,4.9717,0.9477,24.2,1.8,-3.17,98.28,-0.26,0.52
2020-11-20,13:26:20,13,1320,1205,12,2,4.9983,0.9473,24.19,1.9,-3.63,98.28,-0.27,0.6
2020-11-20,13:27:27,35,1320,165,2,0,5.0103,0.9478,24.25,1.83,-3.75,98.3,-0.26,0.6
2020-11-20,13:27:37,35,1320,590,6,0,4.992,0.9478,24.2,1.86,-3.61,98.3,-0.27,0.58
2020-11-20,13:27:46,35,1320,1010,10,0,4.9606,0.9479,24.21,1.77,-3.19,98.28,-0.25,0.52
2020-11-20,13:27:50,35,1320,1205,12,2,4.9928,0.9472,24.22,1.87,-3.7,98.27,-0.26,0.59
2020-11-20,13:28:57,32,1320,165,2,0,4.9629,0.9481,24.21,1.79,-3.69,98.3,-0.25,0.59
2020-11-20,13:29:06,32,1320,590,6,0,4.9779,0.9478,24.22,1.83,-3.61,98.29,-0.26,0.58
2020-11-20,13:29:15,32,1320,1010,10,0,4.9476,0.9479,24.22,1.73,-3.11,98.28,-0.24,0.51
2020-11-20,13:29:20,32,1320,1205,12,2,4.9753,0.9437,24.2,1.9,-3.71,98.13,-0.27,0.57
2020-11-20,13:30:27,31,1320,165,2,0,4.9859,0.9478,24.22,1.83,-3.75,98.3,-0.26,0.62
2020-11-20,13:30:36,31,1320,590,6,0,4.9933,0.9476,24.22,1.84,-3.58,98.29,-0.26,0.59
2020-11-20,13:30:45,31,1320,1010,10,0,4.9784,0.9476,24.25,1.76,-3.16,98.28,-0.25,0.55
2020-11-20,13:30:49,31,1320,1205,12,2,5.0046,0.947,24.24,1.88,-3.67,98.27,-0.27,0.62
2020-11-20,13:31:57,43,1320,165,2,0,4.9682,0.9482,24.2,1.74,-3.37,98.31,-0.25,0.55
2020-11-20,13:32:06,43,1320,590,6,0,4.991,0.9479,24.24,1.76,-3.29,98.3,-0.25,0.52
2020-11-20,13:32:15,43,1320,1010,10,0,4.9665,0.9478,24.26,1.69,-2.9,98.28,-0.25,0.49
2020-11-20,13:32:19,43,1320,1205,12,2,4.9855,0.9475,24.25,1.76,-3.34,98.28,-0.26,0.56
2020-11-20,13:33:26,48,1320,165,2,0,4.9697,0.948,24.22,1.71,-3.24,98.3,-0.26,0.55
2020-11-20,13:33:35,48,1320,590,6,0,4.9849,0.9478,24.23,1.71,-3.05,98.29,-0.25,0.51
2020-11-20,13:33:44,48,1320,1010,10,0,4.9671,0.9478,24.26,1.63,-2.7,98.28,-0.24,0.47
2020-11-20,13:33:49,48,1320,1205,12,2,4.9804,0.9477,24.22,1.76,-3.23,98.29,-0.26,0.53
2020-11-20,13:34:56,8,1320,165,2,0,4.9901,0.9478,24.2,1.85,-3.85,98.3,-0.26,0.62
2020-11-20,13:35:05,8,1320,590,6,0,5.0041,0.9474,24.2,1.87,-3.64,98.29,-0.26,0.59
